date_day,icd10_code_001_J12.8,icd10_code_002_I10.90,icd10_code_003_J96.00,icd10_code_004_Z22.8,icd10_code_005_B33.8,icd10_cat_001_E87,icd10_cat_002_J12,icd10_cat_003_J96,icd10_cat_004_I10,icd10_cat_005_N18,icd10_chap_001_R,icd10_chap_002_I,icd10_chap_003_E,icd10_chap_004_J,icd10_chap_005_Z
2020-09-23,NA,40,NA,NA,NA,14,NA,NA,42,25,67,96,81,26,98
2020-09-24,NA,37,6,NA,NA,11,NA,8,38,25,50,82,63,27,78
2020-09-25,NA,25,NA,NA,NA,15,NA,9,29,24,59,78,69,31,83
2020-09-26,NA,11,5,NA,NA,9,NA,6,11,9,33,31,31,13,43
2020-09-27,NA,21,NA,NA,NA,6,NA,NA,24,8,34,35,26,16,40
2020-09-28,NA,47,5,NA,NA,29,NA,11,50,26,68,98,92,40,121
2020-09-29,NA,46,6,NA,NA,20,NA,12,47,20,62,98,88,36,103
2020-09-30,NA,47,6,NA,NA,14,NA,12,50,22,75,99,82,35,88
2020-10-01,NA,41,6,NA,NA,18,NA,7,43,31,69,101,90,26,96
2020-10-02,NA,30,NA,NA,NA,12,NA,9,33,25,56,75,75,32,81
2020-10-03,NA,15,NA,NA,NA,8,NA,7,16,5,36,34,31,13,39
2020-10-04,NA,19,NA,NA,NA,11,NA,6,24,11,44,47,36,18,42
2020-10-05,NA,48,6,NA,NA,18,NA,12,50,26,80,105,97,44,125
2020-10-06,NA,38,NA,NA,NA,15,NA,7,40,18,65,80,75,28,83
2020-10-07,NA,43,NA,NA,NA,12,NA,7,47,25,54,78,71,24,78
2020-10-08,NA,40,7,NA,NA,13,NA,9,45,27,75,100,82,38,100
2020-10-09,NA,32,NA,NA,NA,16,NA,NA,43,21,61,76,75,31,79
2020-10-10,NA,12,NA,NA,NA,6,NA,NA,14,8,28,28,21,14,32
2020-10-11,NA,17,NA,NA,NA,5,NA,NA,18,11,33,38,35,12,42
2020-10-12,NA,50,6,NA,NA,17,NA,10,52,36,77,110,101,47,105
2020-10-13,NA,60,7,NA,NA,18,NA,15,66,22,71,123,100,50,105
2020-10-14,NA,45,8,NA,NA,16,NA,10,47,22,69,95,78,32,102
2020-10-15,NA,43,NA,NA,NA,18,NA,9,50,26,65,109,95,32,114
2020-10-16,NA,34,6,NA,NA,18,NA,11,39,30,76,91,78,28,100
2020-10-17,NA,12,NA,NA,NA,10,NA,5,13,9,30,35,32,15,40
2020-10-18,NA,19,NA,NA,NA,7,NA,NA,20,11,33,47,39,12,48
2020-10-19,5,53,6,NA,NA,21,5,12,60,24,77,115,98,47,121
2020-10-20,NA,39,8,NA,NA,22,NA,10,45,25,64,103,88,46,109
2020-10-21,7,44,7,NA,NA,19,7,8,50,21,74,99,81,37,114
2020-10-22,6,46,13,NA,NA,19,6,18,47,27,56,91,75,42,93
2020-10-23,NA,35,NA,NA,NA,15,5,6,37,23,66,80,77,38,98
2020-10-24,5,14,NA,NA,NA,17,5,6,16,10,43,44,36,24,44
2020-10-25,NA,25,5,NA,NA,11,NA,7,26,20,42,55,51,23,52
2020-10-26,7,50,10,NA,5,26,7,13,56,32,73,118,110,44,133
2020-10-27,5,47,NA,NA,NA,26,5,NA,52,39,75,112,101,39,107
2020-10-28,7,42,7,NA,5,26,7,15,47,21,80,100,98,48,101
2020-10-29,8,30,6,NA,6,20,8,10,36,31,69,96,88,38,96
2020-10-30,14,29,8,NA,6,21,14,11,36,25,68,80,77,33,81
2020-10-31,7,19,NA,NA,NA,13,7,7,19,13,52,47,38,24,49
2020-11-01,7,19,6,NA,NA,12,7,10,22,15,38,50,44,22,51
2020-11-02,13,45,13,NA,5,24,13,19,52,26,88,111,97,45,122
2020-11-03,11,37,12,NA,NA,24,11,16,41,26,77,97,86,43,115
